"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"log4j-1.0",34,135,0.251851852,2.970588235,"PROC","SVM","Y","MYSMOTE",0.7567,0.4744,"Low IR","log4j-1.0",0.4628,0.0116
"Lucene",64,691,0.092619392,9.796875,"PROC","SVM","Y","MYSMOTE",0.7556,0.3691,"M&H IR","Lucene",0.0406,0.3285
"Mylyn",245,1862,0.131578947,6.6,"PROC","SVM","Y","MYSMOTE",0.6321,0.2298,"M&H IR","Mylyn",0,0.2298
"poi-2.0",37,314,0.117834395,7.486486486,"PROC","SVM","Y","MYSMOTE",0.6541,0.2761,"M&H IR","poi-2.0",0,0.2761
"synapse-1.0",16,157,0.101910828,8.8125,"PROC","SVM","Y","MYSMOTE",0.7183,0.2546,"M&H IR","synapse-1.0",0,0.2546
"synapse-1.1",60,222,0.27027027,2.7,"PROC","SVM","Y","MYSMOTE",0.527,0.1005,"Low IR","synapse-1.1",0,0.1005
"synapse-1.2",86,256,0.3359375,1.976744186,"PROC","SVM","Y","MYSMOTE",0.6979,0.2996,"Low IR","synapse-1.2",0.174,0.1256
"velocity-1.6",78,229,0.340611354,1.935897436,"PROC","SVM","Y","MYSMOTE",0.7441,0.4409,"Low IR","velocity-1.6",0.2872,0.1537
"xerces-1.2",71,440,0.161363636,5.197183099,"PROC","SVM","Y","MYSMOTE",0.5983,0.1613,"M&H IR","xerces-1.2",0,0.1613
"xerces-1.3",69,453,0.152317881,5.565217391,"PROC","SVM","Y","MYSMOTE",0.6641,0.1911,"M&H IR","xerces-1.3",0.0109,0.1802
"ant-1.3",20,125,0.16,5.25,"PROC","SVM","Y","SMOTE",0.696,0.3397,"M&H IR","ant-1.3",-0.0013,0.341
"ant-1.4",40,178,0.224719101,3.45,"PROC","SVM","Y","SMOTE",0.4818,-0.0271,"Low IR","ant-1.4",-0.0013,-0.0258
"ant-1.5",32,293,0.109215017,8.15625,"PROC","SVM","Y","SMOTE",0.7415,0.3527,"M&H IR","ant-1.5",0,0.3527
"ant-1.6",92,351,0.262108262,2.815217391,"PROC","SVM","Y","SMOTE",0.7285,0.4537,"Low IR","ant-1.6",0.3126,0.1411
"camel-1.0",13,339,0.038348083,25.07692308,"PROC","SVM","Y","SMOTE",0.7153,0.1985,"M&H IR","camel-1.0",0,0.1985
"camel-1.2",216,608,0.355263158,1.814814815,"PROC","SVM","Y","SMOTE",0.5682,0.1475,"Low IR","camel-1.2",0.0052,0.1423
"camel-1.4",145,872,0.166284404,5.013793103,"PROC","SVM","Y","SMOTE",0.6457,0.2376,"M&H IR","camel-1.4",0,0.2376
"camel-1.6",188,965,0.194818653,4.132978723,"PROC","SVM","Y","SMOTE",0.5544,0.1043,"M&H IR","camel-1.6",0,0.1043
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"PROC","SVM","Y","SMOTE",0.7237,0.4425,"Low IR","Eclipse_JDT_Core",0.2753,0.1672
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"PROC","SVM","Y","SMOTE",0.6259,0.2053,"M&H IR","Eclipse_PDE_UI",0,0.2053
"Equinox_Framework",129,324,0.398148148,1.511627907,"PROC","SVM","Y","SMOTE",0.7266,0.4649,"Low IR","Equinox_Framework",0.3973,0.0676
"ivy-2.0",40,352,0.113636364,7.8,"PROC","SVM","Y","SMOTE",0.7321,0.3577,"M&H IR","ivy-2.0",-0.0031,0.3608
"jedit-3.2",90,272,0.330882353,2.022222222,"PROC","SVM","Y","SMOTE",0.5592,0.1702,"Low IR","jedit-3.2",0.0756,0.0946
"jedit-4.0",75,306,0.245098039,3.08,"PROC","SVM","Y","SMOTE",0.6769,0.433,"Low IR","jedit-4.0",0.2429,0.1901
"jedit-4.1",79,312,0.253205128,2.949367089,"PROC","SVM","Y","SMOTE",0.6888,0.36,"Low IR","jedit-4.1",0.3072,0.0528
"jedit-4.2",48,367,0.130790191,6.645833333,"PROC","SVM","Y","SMOTE",0.7416,0.5107,"M&H IR","jedit-4.2",0.1612,0.3495
"jedit-4.3",11,492,0.022357724,43.72727273,"PROC","SVM","Y","SMOTE",0.6963,0.1564,"M&H IR","jedit-4.3",0,0.1564
"log4j-1.0",34,135,0.251851852,2.970588235,"PROC","SVM","Y","SMOTE",0.7184,0.441,"Low IR","log4j-1.0",0.4628,-0.0218
"Lucene",64,691,0.092619392,9.796875,"PROC","SVM","Y","SMOTE",0.7128,0.3402,"M&H IR","Lucene",0.0406,0.2996
"Mylyn",245,1862,0.131578947,6.6,"PROC","SVM","Y","SMOTE",0.59,0.2242,"M&H IR","Mylyn",0,0.2242
"poi-2.0",37,314,0.117834395,7.486486486,"PROC","SVM","Y","SMOTE",0.6348,0.2539,"M&H IR","poi-2.0",0,0.2539
"synapse-1.0",16,157,0.101910828,8.8125,"PROC","SVM","Y","SMOTE",0.7164,0.2984,"M&H IR","synapse-1.0",0,0.2984
"synapse-1.1",60,222,0.27027027,2.7,"PROC","SVM","Y","SMOTE",0.5157,0.057,"Low IR","synapse-1.1",0,0.057
"synapse-1.2",86,256,0.3359375,1.976744186,"PROC","SVM","Y","SMOTE",0.6567,0.3103,"Low IR","synapse-1.2",0.174,0.1363
"velocity-1.6",78,229,0.340611354,1.935897436,"PROC","SVM","Y","SMOTE",0.6939,0.4093,"Low IR","velocity-1.6",0.2872,0.1221
"xerces-1.2",71,440,0.161363636,5.197183099,"PROC","SVM","Y","SMOTE",0.5767,0.216,"M&H IR","xerces-1.2",0,0.216
"xerces-1.3",69,453,0.152317881,5.565217391,"PROC","SVM","Y","SMOTE",0.6309,0.2595,"M&H IR","xerces-1.3",0.0109,0.2486
"ant-1.3",20,125,0.16,5.25,"PROC","SVM","Y","OS",0.6677,0.2902,"M&H IR","ant-1.3",-0.0013,0.2915
"ant-1.4",40,178,0.224719101,3.45,"PROC","SVM","Y","OS",0.4508,-0.0796,"Low IR","ant-1.4",-0.0013,-0.0783
"ant-1.5",32,293,0.109215017,8.15625,"PROC","SVM","Y","OS",0.7395,0.3596,"M&H IR","ant-1.5",0,0.3596
"ant-1.6",92,351,0.262108262,2.815217391,"PROC","SVM","Y","OS",0.7234,0.4488,"Low IR","ant-1.6",0.3126,0.1362
"camel-1.0",13,339,0.038348083,25.07692308,"PROC","SVM","Y","OS",0.6252,0.1207,"M&H IR","camel-1.0",0,0.1207
"camel-1.2",216,608,0.355263158,1.814814815,"PROC","SVM","Y","OS",0.5808,0.1943,"Low IR","camel-1.2",0.0052,0.1891
"camel-1.4",145,872,0.166284404,5.013793103,"PROC","SVM","Y","OS",0.5948,0.1679,"M&H IR","camel-1.4",0,0.1679
"camel-1.6",188,965,0.194818653,4.132978723,"PROC","SVM","Y","OS",0.5212,0.0434,"M&H IR","camel-1.6",0,0.0434
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"PROC","SVM","Y","OS",0.7226,0.4505,"Low IR","Eclipse_JDT_Core",0.2753,0.1752
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"PROC","SVM","Y","OS",0.6457,0.2599,"M&H IR","Eclipse_PDE_UI",0,0.2599
"Equinox_Framework",129,324,0.398148148,1.511627907,"PROC","SVM","Y","OS",0.7131,0.4553,"Low IR","Equinox_Framework",0.3973,0.058
"ivy-2.0",40,352,0.113636364,7.8,"PROC","SVM","Y","OS",0.7253,0.3694,"M&H IR","ivy-2.0",-0.0031,0.3725
"jedit-3.2",90,272,0.330882353,2.022222222,"PROC","SVM","Y","OS",0.5639,0.1848,"Low IR","jedit-3.2",0.0756,0.1092
"jedit-4.0",75,306,0.245098039,3.08,"PROC","SVM","Y","OS",0.6609,0.4006,"Low IR","jedit-4.0",0.2429,0.1577
"jedit-4.1",79,312,0.253205128,2.949367089,"PROC","SVM","Y","OS",0.6763,0.3519,"Low IR","jedit-4.1",0.3072,0.0447
"jedit-4.2",48,367,0.130790191,6.645833333,"PROC","SVM","Y","OS",0.7388,0.5004,"M&H IR","jedit-4.2",0.1612,0.3392
"jedit-4.3",11,492,0.022357724,43.72727273,"PROC","SVM","Y","OS",0.7155,0.1512,"M&H IR","jedit-4.3",0,0.1512
"log4j-1.0",34,135,0.251851852,2.970588235,"PROC","SVM","Y","OS",0.7055,0.4155,"Low IR","log4j-1.0",0.4628,-0.0473
"Lucene",64,691,0.092619392,9.796875,"PROC","SVM","Y","OS",0.699,0.3488,"M&H IR","Lucene",0.0406,0.3082
"Mylyn",245,1862,0.131578947,6.6,"PROC","SVM","Y","OS",0.5594,0.1906,"M&H IR","Mylyn",0,0.1906
"poi-2.0",37,314,0.117834395,7.486486486,"PROC","SVM","Y","OS",0.6449,0.2866,"M&H IR","poi-2.0",0,0.2866
"synapse-1.0",16,157,0.101910828,8.8125,"PROC","SVM","Y","OS",0.6774,0.2604,"M&H IR","synapse-1.0",0,0.2604
"synapse-1.1",60,222,0.27027027,2.7,"PROC","SVM","Y","OS",0.5161,0.0653,"Low IR","synapse-1.1",0,0.0653
"synapse-1.2",86,256,0.3359375,1.976744186,"PROC","SVM","Y","OS",0.6282,0.2831,"Low IR","synapse-1.2",0.174,0.1091
"velocity-1.6",78,229,0.340611354,1.935897436,"PROC","SVM","Y","OS",0.6627,0.4142,"Low IR","velocity-1.6",0.2872,0.127
"xerces-1.2",71,440,0.161363636,5.197183099,"PROC","SVM","Y","OS",0.5693,0.2072,"M&H IR","xerces-1.2",0,0.2072
"xerces-1.3",69,453,0.152317881,5.565217391,"PROC","SVM","Y","OS",0.5387,0.1138,"M&H IR","xerces-1.3",0.0109,0.1029
"ant-1.3",20,125,0.16,5.25,"PROC","SVM","Y","UOS",0.5842,0.1585,"M&H IR","ant-1.3",-0.0013,0.1598
"ant-1.4",40,178,0.224719101,3.45,"PROC","SVM","Y","UOS",0.5017,0.0044,"Low IR","ant-1.4",-0.0013,0.0057
"ant-1.5",32,293,0.109215017,8.15625,"PROC","SVM","Y","UOS",0.748,0.3855,"M&H IR","ant-1.5",0,0.3855
"ant-1.6",92,351,0.262108262,2.815217391,"PROC","SVM","Y","UOS",0.6968,0.413,"Low IR","ant-1.6",0.3126,0.1004
"camel-1.0",13,339,0.038348083,25.07692308,"PROC","SVM","Y","UOS",0.6532,0.1467,"M&H IR","camel-1.0",0,0.1467
"camel-1.2",216,608,0.355263158,1.814814815,"PROC","SVM","Y","UOS",0.5582,0.1398,"Low IR","camel-1.2",0.0052,0.1346
"camel-1.4",145,872,0.166284404,5.013793103,"PROC","SVM","Y","UOS",0.5958,0.1661,"M&H IR","camel-1.4",0,0.1661
"camel-1.6",188,965,0.194818653,4.132978723,"PROC","SVM","Y","UOS",0.5226,0.0546,"M&H IR","camel-1.6",0,0.0546
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"PROC","SVM","Y","UOS",0.7191,0.4309,"Low IR","Eclipse_JDT_Core",0.2753,0.1556
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"PROC","SVM","Y","UOS",0.6321,0.2438,"M&H IR","Eclipse_PDE_UI",0,0.2438
"Equinox_Framework",129,324,0.398148148,1.511627907,"PROC","SVM","Y","UOS",0.6765,0.4054,"Low IR","Equinox_Framework",0.3973,0.0081
"ivy-2.0",40,352,0.113636364,7.8,"PROC","SVM","Y","UOS",0.724,0.3521,"M&H IR","ivy-2.0",-0.0031,0.3552
"jedit-3.2",90,272,0.330882353,2.022222222,"PROC","SVM","Y","UOS",0.5755,0.164,"Low IR","jedit-3.2",0.0756,0.0884
"jedit-4.0",75,306,0.245098039,3.08,"PROC","SVM","Y","UOS",0.6596,0.3802,"Low IR","jedit-4.0",0.2429,0.1373
"jedit-4.1",79,312,0.253205128,2.949367089,"PROC","SVM","Y","UOS",0.6697,0.3761,"Low IR","jedit-4.1",0.3072,0.0689
"jedit-4.2",48,367,0.130790191,6.645833333,"PROC","SVM","Y","UOS",0.71,0.4645,"M&H IR","jedit-4.2",0.1612,0.3033
"jedit-4.3",11,492,0.022357724,43.72727273,"PROC","SVM","Y","UOS",0.6683,0.1447,"M&H IR","jedit-4.3",0,0.1447
"log4j-1.0",34,135,0.251851852,2.970588235,"PROC","SVM","Y","UOS",0.7177,0.4666,"Low IR","log4j-1.0",0.4628,0.00380000000000003
"Lucene",64,691,0.092619392,9.796875,"PROC","SVM","Y","UOS",0.6905,0.3463,"M&H IR","Lucene",0.0406,0.3057
"Mylyn",245,1862,0.131578947,6.6,"PROC","SVM","Y","UOS",0.5841,0.22,"M&H IR","Mylyn",0,0.22
"poi-2.0",37,314,0.117834395,7.486486486,"PROC","SVM","Y","UOS",0.6402,0.2845,"M&H IR","poi-2.0",0,0.2845
"synapse-1.0",16,157,0.101910828,8.8125,"PROC","SVM","Y","UOS",0.6794,0.266,"M&H IR","synapse-1.0",0,0.266
"synapse-1.1",60,222,0.27027027,2.7,"PROC","SVM","Y","UOS",0.5078,0.0269,"Low IR","synapse-1.1",0,0.0269
