"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"camel-1.2",216,608,0.355263158,1.814814815,"PROC","Ripper","Y","US",0.5897,0.1878,"Low IR","camel-1.2",0.1987,-0.0109
"camel-1.4",145,872,0.166284404,5.013793103,"PROC","Ripper","Y","US",0.6515,0.2253,"M&H IR","camel-1.4",0.042,0.1833
"camel-1.6",188,965,0.194818653,4.132978723,"PROC","Ripper","Y","US",0.5583,0.1103,"M&H IR","camel-1.6",-0.0073,0.1176
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"PROC","Ripper","Y","US",0.7192,0.3829,"Low IR","Eclipse_JDT_Core",0.418,-0.0351
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"PROC","Ripper","Y","US",0.6607,0.2308,"M&H IR","Eclipse_PDE_UI",0.1364,0.0944
"Equinox_Framework",129,324,0.398148148,1.511627907,"PROC","Ripper","Y","US",0.7314,0.458,"Low IR","Equinox_Framework",0.4707,-0.0127
"ivy-2.0",40,352,0.113636364,7.8,"PROC","Ripper","Y","US",0.7488,0.3461,"M&H IR","ivy-2.0",0.2187,0.1274
"jedit-3.2",90,272,0.330882353,2.022222222,"PROC","Ripper","Y","US",0.7097,0.3883,"Low IR","jedit-3.2",0.4035,-0.0152
"jedit-4.0",75,306,0.245098039,3.08,"PROC","Ripper","Y","US",0.7543,0.4445,"Low IR","jedit-4.0",0.405,0.0395
"jedit-4.1",79,312,0.253205128,2.949367089,"PROC","Ripper","Y","US",0.7258,0.4055,"Low IR","jedit-4.1",0.4105,-0.00499999999999995
"jedit-4.2",48,367,0.130790191,6.645833333,"PROC","Ripper","Y","US",0.7779,0.4358,"M&H IR","jedit-4.2",0.5145,-0.0786999999999999
"jedit-4.3",11,492,0.022357724,43.72727273,"PROC","Ripper","Y","US",0.7242,0.1557,"M&H IR","jedit-4.3",0.0096,0.1461
"log4j-1.0",34,135,0.251851852,2.970588235,"PROC","Ripper","Y","US",0.7503,0.4599,"Low IR","log4j-1.0",0.3891,0.0708
"Lucene",64,691,0.092619392,9.796875,"PROC","Ripper","Y","US",0.7139,0.3023,"M&H IR","Lucene",0.284,0.0183
"Mylyn",245,1862,0.131578947,6.6,"PROC","Ripper","Y","US",0.6323,0.1702,"M&H IR","Mylyn",0.1784,-0.00820000000000001
"poi-2.0",37,314,0.117834395,7.486486486,"PROC","Ripper","Y","US",0.6335,0.1794,"M&H IR","poi-2.0",0.2931,-0.1137
"synapse-1.0",16,157,0.101910828,8.8125,"PROC","Ripper","Y","US",0.6869,0.2457,"M&H IR","synapse-1.0",0.1411,0.1046
"synapse-1.1",60,222,0.27027027,2.7,"PROC","Ripper","Y","US",0.4891,-0.0177,"Low IR","synapse-1.1",0.0465,-0.0642
"synapse-1.2",86,256,0.3359375,1.976744186,"PROC","Ripper","Y","US",0.6561,0.3023,"Low IR","synapse-1.2",0.2442,0.0581
"velocity-1.6",78,229,0.340611354,1.935897436,"PROC","Ripper","Y","US",0.7073,0.3998,"Low IR","velocity-1.6",0.3853,0.0145
"xerces-1.2",71,440,0.161363636,5.197183099,"PROC","Ripper","Y","US",0.6354,0.2582,"M&H IR","xerces-1.2",0.188,0.0702
"xerces-1.3",69,453,0.152317881,5.565217391,"PROC","Ripper","Y","US",0.6702,0.2872,"M&H IR","xerces-1.3",0.2354,0.0518
"ant-1.3",20,125,0.16,5.25,"CK+NET","Ripper","Y","MYSMOTE",0.8132,0.4554,"M&H IR","ant-1.3",0.1152,0.3402
"ant-1.4",40,178,0.224719101,3.45,"CK+NET","Ripper","Y","MYSMOTE",0.8087,0.4188,"Low IR","ant-1.4",0.3276,0.0912
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET","Ripper","Y","MYSMOTE",0.8137,0.4149,"M&H IR","ant-1.5",0.3664,0.0485
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET","Ripper","Y","MYSMOTE",0.8321,0.4961,"Low IR","ant-1.6",0.4907,0.00539999999999996
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET","Ripper","Y","MYSMOTE",0.7508,0.121,"M&H IR","camel-1.0",-0.0029,0.1239
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET","Ripper","Y","MYSMOTE",0.801,0.4494,"Low IR","camel-1.2",0.3985,0.0509
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET","Ripper","Y","MYSMOTE",0.8386,0.4517,"M&H IR","camel-1.4",0.4373,0.0144
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET","Ripper","Y","MYSMOTE",0.8548,0.4824,"M&H IR","camel-1.6",0.3993,0.0831
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET","Ripper","Y","MYSMOTE",0.8517,0.4687,"Low IR","Eclipse_JDT_Core",0.4342,0.0345
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET","Ripper","Y","MYSMOTE",0.7584,0.2841,"M&H IR","Eclipse_PDE_UI",0.1583,0.1258
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET","Ripper","Y","MYSMOTE",0.8183,0.4607,"Low IR","Equinox_Framework",0.3979,0.0628
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET","Ripper","Y","MYSMOTE",0.8068,0.3392,"M&H IR","ivy-2.0",0.2266,0.1126
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET","Ripper","Y","MYSMOTE",0.8991,0.6293,"Low IR","jedit-3.2",0.5802,0.0490999999999999
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET","Ripper","Y","MYSMOTE",0.834,0.4282,"Low IR","jedit-4.0",0.4777,-0.0495
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET","Ripper","Y","MYSMOTE",0.8421,0.4444,"Low IR","jedit-4.1",0.45,-0.00559999999999999
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET","Ripper","Y","MYSMOTE",0.8539,0.433,"M&H IR","jedit-4.2",0.3192,0.1138
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET","Ripper","Y","MYSMOTE",0.8734,0.1754,"M&H IR","jedit-4.3",0.012,0.1634
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET","Ripper","Y","MYSMOTE",0.8074,0.4404,"Low IR","log4j-1.0",0.4286,0.0118
"Lucene",64,691,0.092619392,9.796875,"CK+NET","Ripper","Y","MYSMOTE",0.7352,0.2771,"M&H IR","Lucene",0.1911,0.086
"Mylyn",245,1862,0.131578947,6.6,"CK+NET","Ripper","Y","MYSMOTE",0.7569,0.291,"M&H IR","Mylyn",0.2133,0.0777
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET","Ripper","Y","MYSMOTE",0.7375,0.239,"M&H IR","poi-2.0",0.087,0.152
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET","Ripper","Y","MYSMOTE",0.7632,0.3042,"M&H IR","synapse-1.0",0.0242,0.28
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET","Ripper","Y","MYSMOTE",0.8042,0.4567,"Low IR","synapse-1.1",0.3776,0.0791
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET","Ripper","Y","MYSMOTE",0.792,0.4694,"Low IR","synapse-1.2",0.4506,0.0188
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET","Ripper","Y","MYSMOTE",0.7524,0.3774,"Low IR","velocity-1.6",0.3365,0.0409
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET","Ripper","Y","MYSMOTE",0.9003,0.5696,"M&H IR","xerces-1.2",0.5808,-0.0112
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET","Ripper","Y","MYSMOTE",0.8266,0.3625,"M&H IR","xerces-1.3",0.3749,-0.0124
"ant-1.3",20,125,0.16,5.25,"CK+NET","Ripper","Y","SMOTE",0.6938,0.343,"M&H IR","ant-1.3",0.1152,0.2278
"ant-1.4",40,178,0.224719101,3.45,"CK+NET","Ripper","Y","SMOTE",0.7198,0.3837,"Low IR","ant-1.4",0.3276,0.0561
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET","Ripper","Y","SMOTE",0.7122,0.3457,"M&H IR","ant-1.5",0.3664,-0.0207
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET","Ripper","Y","SMOTE",0.7516,0.4449,"Low IR","ant-1.6",0.4907,-0.0458
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET","Ripper","Y","SMOTE",0.5865,0.0563,"M&H IR","camel-1.0",-0.0029,0.0592
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET","Ripper","Y","SMOTE",0.7182,0.4076,"Low IR","camel-1.2",0.3985,0.0091
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET","Ripper","Y","SMOTE",0.7207,0.4351,"M&H IR","camel-1.4",0.4373,-0.00220000000000004
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET","Ripper","Y","SMOTE",0.7594,0.5027,"M&H IR","camel-1.6",0.3993,0.1034
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET","Ripper","Y","SMOTE",0.741,0.4228,"Low IR","Eclipse_JDT_Core",0.4342,-0.0114
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET","Ripper","Y","SMOTE",0.6083,0.1746,"M&H IR","Eclipse_PDE_UI",0.1583,0.0163
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET","Ripper","Y","SMOTE",0.6824,0.3539,"Low IR","Equinox_Framework",0.3979,-0.044
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET","Ripper","Y","SMOTE",0.6654,0.2582,"M&H IR","ivy-2.0",0.2266,0.0316
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET","Ripper","Y","SMOTE",0.8173,0.5717,"Low IR","jedit-3.2",0.5802,-0.00850000000000006
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET","Ripper","Y","SMOTE",0.7541,0.423,"Low IR","jedit-4.0",0.4777,-0.0547
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET","Ripper","Y","SMOTE",0.7435,0.4237,"Low IR","jedit-4.1",0.45,-0.0263
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET","Ripper","Y","SMOTE",0.7461,0.4207,"M&H IR","jedit-4.2",0.3192,0.1015
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET","Ripper","Y","SMOTE",0.6983,0.2487,"M&H IR","jedit-4.3",0.012,0.2367
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET","Ripper","Y","SMOTE",0.7006,0.3682,"Low IR","log4j-1.0",0.4286,-0.0604
"Lucene",64,691,0.092619392,9.796875,"CK+NET","Ripper","Y","SMOTE",0.605,0.2034,"M&H IR","Lucene",0.1911,0.0123
"Mylyn",245,1862,0.131578947,6.6,"CK+NET","Ripper","Y","SMOTE",0.5862,0.1946,"M&H IR","Mylyn",0.2133,-0.0187
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET","Ripper","Y","SMOTE",0.6613,0.2365,"M&H IR","poi-2.0",0.087,0.1495
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET","Ripper","Y","SMOTE",0.6361,0.2083,"M&H IR","synapse-1.0",0.0242,0.1841
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET","Ripper","Y","SMOTE",0.7178,0.3949,"Low IR","synapse-1.1",0.3776,0.0173
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET","Ripper","Y","SMOTE",0.7222,0.4205,"Low IR","synapse-1.2",0.4506,-0.0301
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET","Ripper","Y","SMOTE",0.6754,0.3506,"Low IR","velocity-1.6",0.3365,0.0141
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET","Ripper","Y","SMOTE",0.7894,0.5068,"M&H IR","xerces-1.2",0.5808,-0.074
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET","Ripper","Y","SMOTE",0.7326,0.329,"M&H IR","xerces-1.3",0.3749,-0.0459
"ant-1.3",20,125,0.16,5.25,"CK+NET","Ripper","Y","OS",0.6001,0.2256,"M&H IR","ant-1.3",0.1152,0.1104
"ant-1.4",40,178,0.224719101,3.45,"CK+NET","Ripper","Y","OS",0.6975,0.3661,"Low IR","ant-1.4",0.3276,0.0385
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET","Ripper","Y","OS",0.7181,0.407,"M&H IR","ant-1.5",0.3664,0.0406
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET","Ripper","Y","OS",0.715,0.4133,"Low IR","ant-1.6",0.4907,-0.0774
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET","Ripper","Y","OS",0.5258,0.0379,"M&H IR","camel-1.0",-0.0029,0.0408
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET","Ripper","Y","OS",0.7145,0.3826,"Low IR","camel-1.2",0.3985,-0.0159
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET","Ripper","Y","OS",0.7077,0.3613,"M&H IR","camel-1.4",0.4373,-0.076
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET","Ripper","Y","OS",0.728,0.4135,"M&H IR","camel-1.6",0.3993,0.0142
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET","Ripper","Y","OS",0.7335,0.4157,"Low IR","Eclipse_JDT_Core",0.4342,-0.0185
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET","Ripper","Y","OS",0.608,0.1877,"M&H IR","Eclipse_PDE_UI",0.1583,0.0294
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET","Ripper","Y","OS",0.7263,0.4004,"Low IR","Equinox_Framework",0.3979,0.0025
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET","Ripper","Y","OS",0.6258,0.214,"M&H IR","ivy-2.0",0.2266,-0.0126
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET","Ripper","Y","OS",0.8118,0.5746,"Low IR","jedit-3.2",0.5802,-0.00560000000000005
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET","Ripper","Y","OS",0.7345,0.4198,"Low IR","jedit-4.0",0.4777,-0.0579
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET","Ripper","Y","OS",0.7377,0.4316,"Low IR","jedit-4.1",0.45,-0.0184
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET","Ripper","Y","OS",0.6776,0.3239,"M&H IR","jedit-4.2",0.3192,0.00470000000000004
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET","Ripper","Y","OS",0.6503,0.2062,"M&H IR","jedit-4.3",0.012,0.1942
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET","Ripper","Y","OS",0.6851,0.3889,"Low IR","log4j-1.0",0.4286,-0.0397
"Lucene",64,691,0.092619392,9.796875,"CK+NET","Ripper","Y","OS",0.6182,0.2117,"M&H IR","Lucene",0.1911,0.0206
"Mylyn",245,1862,0.131578947,6.6,"CK+NET","Ripper","Y","OS",0.6241,0.2102,"M&H IR","Mylyn",0.2133,-0.00309999999999999
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET","Ripper","Y","OS",0.6268,0.2274,"M&H IR","poi-2.0",0.087,0.1404
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET","Ripper","Y","OS",0.5873,0.1307,"M&H IR","synapse-1.0",0.0242,0.1065
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET","Ripper","Y","OS",0.6953,0.3844,"Low IR","synapse-1.1",0.3776,0.00680000000000003
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET","Ripper","Y","OS",0.7054,0.3917,"Low IR","synapse-1.2",0.4506,-0.0589
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET","Ripper","Y","OS",0.6611,0.3168,"Low IR","velocity-1.6",0.3365,-0.0197
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET","Ripper","Y","OS",0.7883,0.5415,"M&H IR","xerces-1.2",0.5808,-0.0393
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET","Ripper","Y","OS",0.714,0.3851,"M&H IR","xerces-1.3",0.3749,0.0102
"ant-1.3",20,125,0.16,5.25,"CK+NET","Ripper","Y","UOS",0.6516,0.2597,"M&H IR","ant-1.3",0.1152,0.1445
"ant-1.4",40,178,0.224719101,3.45,"CK+NET","Ripper","Y","UOS",0.6896,0.3416,"Low IR","ant-1.4",0.3276,0.014
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET","Ripper","Y","UOS",0.7216,0.3483,"M&H IR","ant-1.5",0.3664,-0.0181
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET","Ripper","Y","UOS",0.7306,0.412,"Low IR","ant-1.6",0.4907,-0.0787
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET","Ripper","Y","UOS",0.5152,0.016,"M&H IR","camel-1.0",-0.0029,0.0189
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET","Ripper","Y","UOS",0.6943,0.356,"Low IR","camel-1.2",0.3985,-0.0425
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET","Ripper","Y","UOS",0.7162,0.3356,"M&H IR","camel-1.4",0.4373,-0.1017
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET","Ripper","Y","UOS",0.7354,0.4006,"M&H IR","camel-1.6",0.3993,0.00130000000000002
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET","Ripper","Y","UOS",0.7387,0.3859,"Low IR","Eclipse_JDT_Core",0.4342,-0.0483
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET","Ripper","Y","UOS",0.643,0.2088,"M&H IR","Eclipse_PDE_UI",0.1583,0.0505
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET","Ripper","Y","UOS",0.6997,0.3889,"Low IR","Equinox_Framework",0.3979,-0.00899999999999995
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET","Ripper","Y","UOS",0.6717,0.2531,"M&H IR","ivy-2.0",0.2266,0.0265
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET","Ripper","Y","UOS",0.7964,0.5627,"Low IR","jedit-3.2",0.5802,-0.0175000000000001
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET","Ripper","Y","UOS",0.7195,0.3766,"Low IR","jedit-4.0",0.4777,-0.1011
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET","Ripper","Y","UOS",0.7496,0.4343,"Low IR","jedit-4.1",0.45,-0.0157
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET","Ripper","Y","UOS",0.7147,0.3276,"M&H IR","jedit-4.2",0.3192,0.00840000000000002
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET","Ripper","Y","UOS",0.6914,0.223,"M&H IR","jedit-4.3",0.012,0.211
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET","Ripper","Y","UOS",0.6923,0.3645,"Low IR","log4j-1.0",0.4286,-0.0641
"Lucene",64,691,0.092619392,9.796875,"CK+NET","Ripper","Y","UOS",0.6375,0.1976,"M&H IR","Lucene",0.1911,0.00650000000000001
"Mylyn",245,1862,0.131578947,6.6,"CK+NET","Ripper","Y","UOS",0.6402,0.21,"M&H IR","Mylyn",0.2133,-0.0033
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET","Ripper","Y","UOS",0.6417,0.2209,"M&H IR","poi-2.0",0.087,0.1339
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET","Ripper","Y","UOS",0.6032,0.1674,"M&H IR","synapse-1.0",0.0242,0.1432
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET","Ripper","Y","UOS",0.6806,0.3218,"Low IR","synapse-1.1",0.3776,-0.0558
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET","Ripper","Y","UOS",0.6523,0.3038,"Low IR","synapse-1.2",0.4506,-0.1468
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET","Ripper","Y","UOS",0.6557,0.2902,"Low IR","velocity-1.6",0.3365,-0.0463
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET","Ripper","Y","UOS",0.7867,0.4886,"M&H IR","xerces-1.2",0.5808,-0.0922
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET","Ripper","Y","UOS",0.7266,0.3521,"M&H IR","xerces-1.3",0.3749,-0.0228
"ant-1.3",20,125,0.16,5.25,"CK+NET","Ripper","Y","US",0.6858,0.3039,"M&H IR","ant-1.3",0.1152,0.1887
"ant-1.4",40,178,0.224719101,3.45,"CK+NET","Ripper","Y","US",0.7052,0.3478,"Low IR","ant-1.4",0.3276,0.0202
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET","Ripper","Y","US",0.7141,0.3065,"M&H IR","ant-1.5",0.3664,-0.0599
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET","Ripper","Y","US",0.7492,0.4413,"Low IR","ant-1.6",0.4907,-0.0494
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET","Ripper","Y","US",0.6023,0.0844,"M&H IR","camel-1.0",-0.0029,0.0873
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET","Ripper","Y","US",0.6996,0.3806,"Low IR","camel-1.2",0.3985,-0.0179
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET","Ripper","Y","US",0.7558,0.4011,"M&H IR","camel-1.4",0.4373,-0.0362
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET","Ripper","Y","US",0.7814,0.457,"M&H IR","camel-1.6",0.3993,0.0577
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET","Ripper","Y","US",0.7512,0.4096,"Low IR","Eclipse_JDT_Core",0.4342,-0.0246
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET","Ripper","Y","US",0.6651,0.2334,"M&H IR","Eclipse_PDE_UI",0.1583,0.0751
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET","Ripper","Y","US",0.7218,0.4107,"Low IR","Equinox_Framework",0.3979,0.0128
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET","Ripper","Y","US",0.7105,0.2887,"M&H IR","ivy-2.0",0.2266,0.0621
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET","Ripper","Y","US",0.8083,0.5777,"Low IR","jedit-3.2",0.5802,-0.00250000000000006
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET","Ripper","Y","US",0.7248,0.3778,"Low IR","jedit-4.0",0.4777,-0.0999
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET","Ripper","Y","US",0.7354,0.4039,"Low IR","jedit-4.1",0.45,-0.0461
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET","Ripper","Y","US",0.7458,0.3517,"M&H IR","jedit-4.2",0.3192,0.0325
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET","Ripper","Y","US",0.7226,0.1386,"M&H IR","jedit-4.3",0.012,0.1266
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET","Ripper","Y","US",0.7016,0.3642,"Low IR","log4j-1.0",0.4286,-0.0644
"Lucene",64,691,0.092619392,9.796875,"CK+NET","Ripper","Y","US",0.6548,0.1893,"M&H IR","Lucene",0.1911,-0.0018
"Mylyn",245,1862,0.131578947,6.6,"CK+NET","Ripper","Y","US",0.659,0.2155,"M&H IR","Mylyn",0.2133,0.00220000000000001
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET","Ripper","Y","US",0.6299,0.172,"M&H IR","poi-2.0",0.087,0.085
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET","Ripper","Y","US",0.6992,0.2787,"M&H IR","synapse-1.0",0.0242,0.2545
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET","Ripper","Y","US",0.7147,0.3932,"Low IR","synapse-1.1",0.3776,0.0156
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET","Ripper","Y","US",0.6886,0.3628,"Low IR","synapse-1.2",0.4506,-0.0878
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET","Ripper","Y","US",0.6567,0.2953,"Low IR","velocity-1.6",0.3365,-0.0412
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET","Ripper","Y","US",0.8015,0.4877,"M&H IR","xerces-1.2",0.5808,-0.0931
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET","Ripper","Y","US",0.715,0.3162,"M&H IR","xerces-1.3",0.3749,-0.0587
"ant-1.3",20,125,0.16,5.25,"CK+PROC","Ripper","Y","MYSMOTE",0.7853,0.447,"M&H IR","ant-1.3",0.1363,0.3107
"ant-1.4",40,178,0.224719101,3.45,"CK+PROC","Ripper","Y","MYSMOTE",0.7841,0.3893,"Low IR","ant-1.4",0.1864,0.2029
"ant-1.5",32,293,0.109215017,8.15625,"CK+PROC","Ripper","Y","MYSMOTE",0.7811,0.3567,"M&H IR","ant-1.5",0.4215,-0.0648
"ant-1.6",92,351,0.262108262,2.815217391,"CK+PROC","Ripper","Y","MYSMOTE",0.8256,0.4955,"Low IR","ant-1.6",0.4766,0.0189
"camel-1.0",13,339,0.038348083,25.07692308,"CK+PROC","Ripper","Y","MYSMOTE",0.7952,0.1918,"M&H IR","camel-1.0",0.0889,0.1029
"camel-1.2",216,608,0.355263158,1.814814815,"CK+PROC","Ripper","Y","MYSMOTE",0.6495,0.2101,"Low IR","camel-1.2",0.195,0.0151
"camel-1.4",145,872,0.166284404,5.013793103,"CK+PROC","Ripper","Y","MYSMOTE",0.7269,0.2684,"M&H IR","camel-1.4",0.1039,0.1645
"camel-1.6",188,965,0.194818653,4.132978723,"CK+PROC","Ripper","Y","MYSMOTE",0.6562,0.1536,"M&H IR","camel-1.6",0.1118,0.0418
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+PROC","Ripper","Y","MYSMOTE",0.814,0.4489,"Low IR","Eclipse_JDT_Core",0.4378,0.0111
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+PROC","Ripper","Y","MYSMOTE",0.7501,0.2833,"M&H IR","Eclipse_PDE_UI",0.2312,0.0521
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+PROC","Ripper","Y","MYSMOTE",0.842,0.5122,"Low IR","Equinox_Framework",0.4593,0.0529
"ivy-2.0",40,352,0.113636364,7.8,"CK+PROC","Ripper","Y","MYSMOTE",0.8198,0.4008,"M&H IR","ivy-2.0",0.2199,0.1809
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+PROC","Ripper","Y","MYSMOTE",0.8316,0.4959,"Low IR","jedit-3.2",0.3973,0.0986
"jedit-4.0",75,306,0.245098039,3.08,"CK+PROC","Ripper","Y","MYSMOTE",0.8449,0.4917,"Low IR","jedit-4.0",0.4566,0.0351
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+PROC","Ripper","Y","MYSMOTE",0.8455,0.4718,"Low IR","jedit-4.1",0.4321,0.0397
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+PROC","Ripper","Y","MYSMOTE",0.8661,0.4735,"M&H IR","jedit-4.2",0.485,-0.0115
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+PROC","Ripper","Y","MYSMOTE",0.8475,0.1865,"M&H IR","jedit-4.3",0.0255,0.161
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+PROC","Ripper","Y","MYSMOTE",0.8566,0.511,"Low IR","log4j-1.0",0.4408,0.0702
"Lucene",64,691,0.092619392,9.796875,"CK+PROC","Ripper","Y","MYSMOTE",0.776,0.3212,"M&H IR","Lucene",0.3235,-0.00230000000000002
