"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC"
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","UOS",0.5238,0.058
"camel-1.2",216,608,0.355263158,1.814814815,"CK","IBk","Y","UOS",0.5731,0.0984
"camel-1.2",216,608,0.355263158,1.814814815,"CK","LR","Y","UOS",0.5416,0.0421
"camel-1.2",216,608,0.355263158,1.814814815,"CK","NB","Y","UOS",0.5384,0.1043
"camel-1.2",216,608,0.355263158,1.814814815,"CK","RF","Y","UOS",0.551,0.0723
"camel-1.2",216,608,0.355263158,1.814814815,"CK","Ripper","Y","UOS",0.524,0.0437
"camel-1.2",216,608,0.355263158,1.814814815,"CK","SVM","Y","UOS",0.5182,0.0649
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","US",0.5302,0.0565
"camel-1.2",216,608,0.355263158,1.814814815,"CK","IBk","Y","US",0.55,0.0615
"camel-1.2",216,608,0.355263158,1.814814815,"CK","LR","Y","US",0.5505,0.0587
"camel-1.2",216,608,0.355263158,1.814814815,"CK","NB","Y","US",0.5464,0.106
"camel-1.2",216,608,0.355263158,1.814814815,"CK","RF","Y","US",0.5414,0.0632
"camel-1.2",216,608,0.355263158,1.814814815,"CK","Ripper","Y","US",0.5226,0.0385
"camel-1.2",216,608,0.355263158,1.814814815,"CK","SVM","Y","US",0.5273,0.0901
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","N","NONE",0.6083,0.0968
"camel-1.4",145,872,0.166284404,5.013793103,"CK","IBk","N","NONE",0.6769,0.1639
"camel-1.4",145,872,0.166284404,5.013793103,"CK","LR","N","NONE",0.6983,0.0614
"camel-1.4",145,872,0.166284404,5.013793103,"CK","NB","N","NONE",0.6704,0.16
"camel-1.4",145,872,0.166284404,5.013793103,"CK","RF","N","NONE",0.6438,0.1577
"camel-1.4",145,872,0.166284404,5.013793103,"CK","Ripper","N","NONE",0.5117,0.0476
"camel-1.4",145,872,0.166284404,5.013793103,"CK","SVM","N","NONE",0.5,0
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","OS",0.5563,0.1142
"camel-1.4",145,872,0.166284404,5.013793103,"CK","IBk","Y","OS",0.6568,0.1806
"camel-1.4",145,872,0.166284404,5.013793103,"CK","LR","Y","OS",0.6976,0.2177
"camel-1.4",145,872,0.166284404,5.013793103,"CK","NB","Y","OS",0.6665,0.1846
"camel-1.4",145,872,0.166284404,5.013793103,"CK","RF","Y","OS",0.6453,0.1456
"camel-1.4",145,872,0.166284404,5.013793103,"CK","Ripper","Y","OS",0.5942,0.1548
"camel-1.4",145,872,0.166284404,5.013793103,"CK","SVM","Y","OS",0.6207,0.2024
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","SMOTE",0.637,0.2001
"camel-1.4",145,872,0.166284404,5.013793103,"CK","IBk","Y","SMOTE",0.6854,0.2145
"camel-1.4",145,872,0.166284404,5.013793103,"CK","LR","Y","SMOTE",0.6931,0.2027
"camel-1.4",145,872,0.166284404,5.013793103,"CK","NB","Y","SMOTE",0.636,0.1538
